wavenumber,neuron-1 sub,neuron-2 sub,neuron-3 sub,neuron-4 sub,neuron-5 sub,neuron-6 sub
709,237.12,184.52,210.49,29.198,167.28,38.367
710,252.76,216.87,139.97,44.835,152.95,62.159
711,257.17,223.1,159.37,35.305,155.35,75.972
712,254.74,213.47,233.41,10.479,167.91,83.722
713,252.31,203.83,307.45,-14.346,180.47,91.471
714,249.88,194.2,381.49,-39.172,193.03,99.221
715,252.51,195.07,356.38,-15.213,201.75,99.794
716,257.17,200.17,291.37,28.384,208.93,97.477
717,261.83,205.28,226.36,71.98,216.11,95.161
718,266.5,210.38,161.34,115.58,223.28,92.845
719,281.22,224.33,167.56,89.304,228.18,78.572
720,298.34,240.38,190.71,46.429,232.54,61.458
721,315.47,256.42,213.86,3.554,236.9,44.344
722,332.59,272.47,237,-39.321,241.25,27.23
723,332.1,349.04,264.48,56.848,206.01,64.081
724,329.87,431.59,292.39,166.77,166.85,106.27
725,327.64,514.15,320.3,276.69,127.69,148.46
726,325.52,594.83,347.87,384.19,89.019,189.95
727,330.95,543.44,351.73,321.61,85.058,182.68
728,336.38,492.06,355.58,259.03,81.098,175.41
729,341.81,440.67,359.43,196.45,77.138,168.14
730,350.05,389.69,366.76,146.3,75.306,164.96
731,378.68,341.57,399.36,186.41,88.937,191.55
732,407.32,293.45,431.96,226.52,102.57,218.14
733,435.95,245.34,464.57,266.64,116.2,244.73
734,467.24,220.07,474.12,292.84,138.74,260.64
735,507.25,269.63,408.22,273.48,190.46,241.6
736,547.26,319.18,342.33,254.13,242.19,222.57
737,587.27,368.73,276.43,234.78,293.91,203.53
738,619.48,416.54,230.99,239.56,329.68,201.9
739,637.4,461.18,223.01,288.54,336.23,232.15
740,655.33,505.81,215.03,337.53,342.78,262.4
741,673.25,550.45,207.06,386.52,349.32,292.66
742,670.1,570.81,207.89,419.75,354.68,331.42
743,643.58,564.24,218.49,435.49,358.71,379.61
744,617.06,557.67,229.1,451.23,362.75,427.81
745,590.54,551.11,239.7,466.97,366.78,476
746,596.15,565.92,243.79,464.11,372.36,501.97
747,623.19,594.99,243.54,448.85,378.98,513.12
748,650.22,624.06,243.3,433.59,385.59,524.26
749,677.25,653.13,243.05,418.33,392.2,535.41
750,654.85,674.59,238.17,419.7,416.41,562.44
751,614.34,693.27,231.6,427.16,447.06,595.28
752,573.84,711.94,225.02,434.63,477.71,628.13
753,533.33,730.62,218.45,442.09,508.36,660.97
754,590.69,743.14,269.62,416.8,521.47,663.78
755,663.07,754.7,329.65,386.48,531.9,661.97
756,735.45,766.27,389.67,356.16,542.33,660.17
757,807.3,777.34,449.16,326.13,552.41,658.18
758,792.82,704.18,419.28,343.19,505.84,625.49
759,778.34,631.03,389.41,360.26,459.27,592.8
760,763.85,557.87,359.53,377.33,412.69,560.12
761,743.6,504.63,334.95,383.3,366.72,530.07
762,690.43,565.08,340.6,325.83,324.13,515.13
763,637.26,625.53,346.26,268.36,281.55,500.18
764,584.09,685.98,351.91,210.89,238.96,485.24
765,528.77,716.93,332.53,156.33,200.83,460.81
766,468.41,678.72,254.47,108.6,173.13,414.15
767,408.06,640.5,176.4,60.863,145.43,367.49
768,347.7,602.28,98.332,13.13,117.72,320.83
769,300.11,555.99,59.554,-20.035,105.28,291.89
770,267.91,499.93,68.22,-35.608,111.25,284.33
771,235.72,443.88,76.885,-51.18,117.22,276.78
772,203.52,387.83,85.551,-66.753,123.2,269.22
