organ,day,group,treatment,sample_name,baseline_2300_2600,denominator_2930,1260,1300,1442,1580,1655,2142,2180
Ovary,D10,5_CTRL,CTRL,D10_CTRL_1,318.4000219298246,1768.0559780701756,0.2159077443276651,0.2392842666282275,0.23191572164911434,0.1485416645896216,0.20735937245060673,0.042178516401710595,0.026923908892372166
Ovary,D10,5_CTRL,CTRL,D10_CTRL_2,303.07017982456136,1600.091820175439,0.3004307716058016,0.3198709059829584,0.30844843649117887,0.24656698771960558,0.2553414841722282,0.0345485299520983,0.0493726792296062
Ovary,D10,5_CTRL,CTRL,D10_CTRL_3,893.2432280701755,3375.593771929825,0.3134393068052563,0.33757728237493434,0.3317409758371555,0.24857753290915496,0.32578202420995767,0.014371329966665453,0.049552695979231044
Ovary,D10,5_CTRL,CTRL,D10_CTRL_4,288.2505526315789,2322.387447368421,0.22668803517904332,0.26070001715453367,0.2304875734559139,0.1530965247729472,0.2335064495732233,0.03912975307862353,0.04270452265869825
Ovary,D10,5_CTRL,CTRL,D10_CTRL_5,232.11274122807018,2380.23825877193,0.22871838849141604,0.24785302756889174,0.22359411156029357,0.1405616675301024,0.21190158460529904,0.023943510092697264,0.04949977521692261
Ovary,D40,1_RAPA,RAPA,rapa_D40_RAPA_1,1366.6588991228073,1094.9451008771925,0.19014569836460138,0.2108782446646979,0.26263335088381395,0.08174756963201538,0.21865854341499594,0.0,0.028576867326156496
Ovary,D40,1_RAPA,RAPA,rapa_D40_RAPA_2,1310.8527236842103,3843.6142763157895,0.21724975928546697,0.23488290224094696,0.2592500715943124,0.11432397861134586,0.23840953083204292,0.011617002411227657,0.011048006710104339
Ovary,D40,1_RAPA,RAPA,rapa_D40_RAPA_3,949.6169912280702,2731.6500087719296,0.2527515830727658,0.3286867726279801,0.3406287192169177,0.12893635257323632,0.26720588113540494,0.02564018397196413,0.0
Ovary,D40,1_RAPA,RAPA,rapa_D40_RAPA_4,1566.764395442372,616.3966045576199,0.3494578051938188,0.48868796863962877,0.5232160627962714,0.3646201210321864,0.5186621765820303,0.0,0.047724062176627786
Ovary,D40,1_RAPA,RAPA,rapa_D40_RAPA_5,2324.7834649122806,4679.73953508772,0.2574932912511192,0.27400104759541577,0.3068159080910911,0.16387248250416664,0.31172814729321785,0.0,0.008347373778995458
